date,adm0_name,adm1_name,school_closure,travel_ban_local_opt,no_gathering,travel_ban_intl_out,work_from_home,testing_regime,home_isolation,religious_closure,cum_confirmed_cases,cum_confirmed_cases_imputed,population
2020-02-27,IRN,Qazvin,1,0,1,1,0,0,0,0,0.0,0,1273761.0
2020-02-27,IRN,Qom,1,1,1,1,0,0,0,0,72.0,72,1292283.0
2020-02-27,IRN,Razavi Khorasan,0,0,1,1,0,0,0,0,2.0,2,6434501.0
2020-02-27,IRN,Semnan,1,0,1,1,0,0,0,0,4.0,4,702360.0
2020-02-27,IRN,Sistan and Baluchestan,0,0,1,1,0,0,0,0,2.0,2,2775014.0
2020-02-27,IRN,South Khorasan,0,0,1,1,0,0,0,0,0.0,0,768898.0
2020-02-27,IRN,Tehran,1,0,1,1,0,0,0,0,63.0,63,13267637.0
2020-02-27,IRN,West Azarbaijan,0,0,1,1,0,0,0,0,1.0,1,3265219.0
2020-02-27,IRN,Yazd,0,0,1,1,0,0,0,0,1.0,1,1138533.0
2020-02-27,IRN,Zanjan,1,0,1,1,0,0,0,0,0.0,0,1057461.0
2020-02-28,IRN,Alborz,1,0,1,1,0,0,0,0,8.0,8,2712400.0
2020-02-28,IRN,Ardebil,1,0,1,1,0,0,0,0,6.0,6,1270420.0
2020-02-28,IRN,Bushehr,0,0,1,1,0,0,0,0,0.0,0,1163400.0
2020-02-28,IRN,Chahar Mahall and Bakhtiari,0,0,1,1,0,0,0,0,0.0,0,947763.0
2020-02-28,IRN,East Azarbaijan,0,0,1,1,0,0,0,0,6.0,6,3909652.0
2020-02-28,IRN,Esfahan,0,0,1,1,0,0,0,0,20.0,20,5120850.0
2020-02-28,IRN,Fars,0,0,1,1,0,0,0,0,3.0,3,4851274.0
2020-02-28,IRN,Gilan,1,0,1,1,0,0,0,0,57.0,57,2530696.0
2020-02-28,IRN,Golestan,1,0,1,1,0,0,0,0,2.0,2,1868819.0
2020-02-28,IRN,Hamadan,1,0,1,1,0,0,0,0,2.0,2,1738234.0
