adm0_name,adm1_name,adm2_name,policy,policy_description,date_start,date_end,optional,source,access_date,notes
CHN,Hubei,Jingzhou,home_isolation,,02/10/2020,NA,N,https://github.com/Pratitya/wuhan2020-timeline/blob/master/%E6%97%B6%E9%97%B4%E7%BA%BFTIMELINE.md,4/2/2020,
CHN,Hubei,Qianjiang,home_isolation,,02/10/2020,NA,N,https://github.com/Pratitya/wuhan2020-timeline/blob/master/%E6%97%B6%E9%97%B4%E7%BA%BFTIMELINE.md,4/2/2020,
CHN,Hubei,Shennongjia,home_isolation,,02/10/2020,NA,N,https://github.com/Pratitya/wuhan2020-timeline/blob/master/%E6%97%B6%E9%97%B4%E7%BA%BFTIMELINE.md,4/2/2020,
CHN,Hubei,Shiyan,home_isolation,,02/10/2020,NA,N,https://github.com/Pratitya/wuhan2020-timeline/blob/master/%E6%97%B6%E9%97%B4%E7%BA%BFTIMELINE.md,4/2/2020,
CHN,Hubei,Suizhou,home_isolation,,02/10/2020,NA,N,https://github.com/Pratitya/wuhan2020-timeline/blob/master/%E6%97%B6%E9%97%B4%E7%BA%BFTIMELINE.md,4/2/2020,
CHN,Hubei,Tianmen,home_isolation,,02/10/2020,NA,N,https://github.com/Pratitya/wuhan2020-timeline/blob/master/%E6%97%B6%E9%97%B4%E7%BA%BFTIMELINE.md,4/2/2020,
CHN,Hubei,Wuhan,home_isolation,"residents required to stay in area, all nonessential manufacturing shut down until feb 20th, then march 10th",02/10/2020,NA,N,http://www.caixin.com/2020-02-11/101513995.html,4/2/2020,
CHN,Hubei,Xiangyang,home_isolation,,02/10/2020,NA,N,https://github.com/Pratitya/wuhan2020-timeline/blob/master/%E6%97%B6%E9%97%B4%E7%BA%BFTIMELINE.md,4/2/2020,
CHN,Hubei,Xianning,home_isolation,,02/10/2020,NA,N,https://github.com/Pratitya/wuhan2020-timeline/blob/master/%E6%97%B6%E9%97%B4%E7%BA%BFTIMELINE.md,4/2/2020,
CHN,Hubei,Xiantao,home_isolation,,02/10/2020,NA,N,https://github.com/Pratitya/wuhan2020-timeline/blob/master/%E6%97%B6%E9%97%B4%E7%BA%BFTIMELINE.md,4/2/2020,
CHN,Hubei,Xiaogan,home_isolation,,02/10/2020,NA,N,https://github.com/Pratitya/wuhan2020-timeline/blob/master/%E6%97%B6%E9%97%B4%E7%BA%BFTIMELINE.md,4/2/2020,
CHN,Hubei,Yichang,home_isolation,,02/10/2020,NA,N,https://github.com/Pratitya/wuhan2020-timeline/blob/master/%E6%97%B6%E9%97%B4%E7%BA%BFTIMELINE.md,4/2/2020,
CHN,Shanghai,Shanghai,home_isolation,"entry restrictions, temp checks, masks required",02/10/2020,03/13/2020,N,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns,3/15/2020,
CHN,Hunan,Yueyang,home_isolation,,02/12/2020,NA,N,https://xw.qq.com/cmsid/20200213A0J61000,3/17/2020,
CHN,Neimenggu,Baotou,home_isolation,,02/12/2020,NA,N,https://www.nber.org/papers/w26906.pdf,3/30/2020,
CHN,Neimenggu,Bayannur,home_isolation,,02/12/2020,NA,N,https://www.nber.org/papers/w26906.pdf,3/30/2020,
CHN,Neimenggu,Chifeng,home_isolation,,02/12/2020,NA,N,https://www.nber.org/papers/w26906.pdf,3/30/2020,
CHN,Neimenggu,Hohhot,home_isolation,,02/12/2020,NA,N,https://www.nber.org/papers/w26906.pdf,3/30/2020,
CHN,Neimenggu,Hulunbuir,home_isolation,,02/12/2020,NA,N,https://www.nber.org/papers/w26906.pdf,3/30/2020,
CHN,Neimenggu,Ordos,home_isolation,,02/12/2020,NA,N,https://www.nber.org/papers/w26906.pdf,3/30/2020,
CHN,Neimenggu,Tongliao,home_isolation,,02/12/2020,NA,N,https://www.nber.org/papers/w26906.pdf,3/30/2020,
CHN,Neimenggu,Ulanqab,home_isolation,,02/12/2020,NA,N,https://www.nber.org/papers/w26906.pdf,3/30/2020,
CHN,Neimenggu,Wuhai,home_isolation,,02/12/2020,NA,N,https://www.nber.org/papers/w26906.pdf,3/30/2020,
CHN,Neimenggu,Xilingol League,home_isolation,,02/12/2020,NA,N,https://www.nber.org/papers/w26906.pdf,3/30/2020,
CHN,Neimenggu,Xinganmeng,home_isolation,,02/12/2020,NA,N,https://www.nber.org/papers/w26906.pdf,3/30/2020,
CHN,Heilongjiang,Harbin,travel_ban_local,,02/22/2020,NA,N,https://sg.news.yahoo.com/north-china-city-harbin-puts-102856453.html,4/2/2020,
