date,adm0_name,adm1_name,adm_level,cumulative_confirmed_cases,cumulative_tests,cumulative_deaths
2020-03-18,USA,California,1,611.0,8592.0,13.0
2020-03-18,USA,Colorado,1,183.0,1800.0,2.0
2020-03-18,USA,Connecticut,1,68.0,193.0,
2020-03-18,USA,District of Columbia,1,31.0,169.0,
2020-03-18,USA,Delaware,1,25.0,61.0,
2020-03-18,USA,Florida,1,314.0,1539.0,7.0
2020-03-18,USA,Georgia,1,197.0,1508.0,1.0
2020-03-18,USA,Guam,1,8.0,65.0,
2020-03-18,USA,Hawaii,1,14.0,107.0,
2020-03-18,USA,Iowa,1,29.0,112.0,
2020-03-18,USA,Idaho,1,9.0,468.0,
2020-03-18,USA,Illinois,1,289.0,2052.0,1.0
2020-03-18,USA,Indiana,1,39.0,193.0,2.0
2020-03-18,USA,Kansas,1,16.0,433.0,1.0
2020-03-18,USA,Kentucky,1,26.0,380.0,1.0
2020-03-18,USA,Louisiana,1,240.0,575.0,6.0
2020-03-18,USA,Massachusetts,1,256.0,2271.0,
2020-03-18,USA,Maryland,1,85.0,179.0,
2020-03-18,USA,Maine,1,43.0,1713.0,
2020-03-18,USA,Michigan,1,80.0,352.0,
2020-03-18,USA,Minnesota,1,77.0,2762.0,
2020-03-18,USA,Missouri,1,13.0,266.0,0.0
2020-03-18,USA,Northern Marianas,1,0.0,,0.0
2020-03-18,USA,Mississippi,1,34.0,513.0,
2020-03-18,USA,Montana,1,10.0,509.0,
2020-03-18,USA,North Carolina,1,63.0,1850.0,0.0
2020-03-18,USA,North Dakota,1,6.0,274.0,0.0
2020-03-18,USA,Nebraska,1,24.0,230.0,
2020-03-18,USA,New Hampshire,1,26.0,539.0,
2020-03-18,USA,New Jersey,1,427.0,617.0,5.0
2020-03-18,USA,New Mexico,1,28.0,2354.0,
2020-03-18,USA,Nevada,1,55.0,223.0,1.0
2020-03-18,USA,New York,1,2382.0,14597.0,12.0
2020-03-18,USA,Ohio,1,88.0,228.0,
2020-03-18,USA,Oklahoma,1,29.0,407.0,
2020-03-18,USA,Oregon,1,75.0,1193.0,3.0
2020-03-18,USA,Pennsylvania,1,133.0,1320.0,
2020-03-18,USA,Puerto Rico,1,5.0,36.0,
2020-03-18,USA,Rhode Island,1,33.0,573.0,
2020-03-18,USA,South Carolina,1,60.0,643.0,1.0
2020-03-18,USA,South Dakota,1,11.0,562.0,1.0
2020-03-18,USA,Tennessee,1,98.0,447.0,
2020-03-18,USA,Texas,1,83.0,1907.0,2.0
2020-03-18,USA,Utah,1,63.0,194.0,0.0
2020-03-18,USA,Virginia,1,77.0,1278.0,1.0
2020-03-18,USA,Virgin Islands,1,2.0,,0.0
2020-03-18,USA,Vermont,1,19.0,611.0,
2020-03-18,USA,Washington,1,1012.0,14129.0,52.0
2020-03-18,USA,Wisconsin,1,106.0,1683.0,
2020-03-18,USA,West Virginia,1,1.0,123.0,0.0
2020-03-18,USA,Wyoming,1,15.0,193.0,
2020-03-17,USA,Alaska,1,3.0,337.0,
2020-03-17,USA,Alabama,1,36.0,64.0,0.0
2020-03-17,USA,Arkansas,1,22.0,219.0,
2020-03-17,USA,American Samoa,1,0.0,,
2020-03-17,USA,Arizona,1,20.0,162.0,0.0
2020-03-17,USA,California,1,483.0,8464.0,11.0
2020-03-17,USA,Colorado,1,160.0,1216.0,1.0
2020-03-17,USA,Connecticut,1,41.0,166.0,
2020-03-17,USA,District of Columbia,1,22.0,126.0,
2020-03-17,USA,Delaware,1,16.0,52.0,
2020-03-17,USA,Florida,1,186.0,1126.0,6.0
2020-03-17,USA,Georgia,1,146.0,,1.0
2020-03-17,USA,Guam,1,5.0,46.0,
2020-03-17,USA,Hawaii,1,10.0,,
2020-03-17,USA,Iowa,1,23.0,106.0,
2020-03-17,USA,Idaho,1,7.0,353.0,
2020-03-17,USA,Illinois,1,160.0,1500.0,1.0
2020-03-17,USA,Indiana,1,30.0,159.0,2.0
2020-03-17,USA,Kansas,1,15.0,397.0,1.0
