date,adm0_name,adm1_name,cum_confirmed_cases,cum_confirmed_cases_imputed,cum_deaths,cum_deaths_imputed
2020-04-15,USA,Tennessee,6073,6073,134,134
2020-04-16,USA,Tennessee,6260,6260,140,140
2020-04-17,USA,Tennessee,6581,6581,142,142
2020-04-18,USA,Tennessee,6753,6753,145,145
2020-04-19,USA,Tennessee,7064,7064,148,148
2020-04-20,USA,Tennessee,7232,7232,152,152
2020-04-21,USA,Tennessee,7389,7389,157,157
2020-04-22,USA,Tennessee,7835,7835,166,166
2020-04-23,USA,Tennessee,8262,8262,170,170
2020-04-24,USA,Tennessee,8722,8722,170,170
2020-04-25,USA,Tennessee,9186,9186,178,178
2020-04-26,USA,Tennessee,9662,9662,181,181
2020-04-27,USA,Tennessee,9914,9914,184,184
2020-04-28,USA,Tennessee,10049,10049,184,184
2020-04-29,USA,Tennessee,10363,10363,194,194
2020-04-30,USA,Tennessee,10731,10731,199,199
2020-05-01,USA,Tennessee,11889,11889,204,204
2020-05-02,USA,Tennessee,12659,12659,209,209
2020-05-03,USA,Tennessee,13176,13176,210,210
2020-05-04,USA,Tennessee,13528,13528,219,219
2020-05-05,USA,Tennessee,13639,13639,226,226
2020-05-06,USA,Tennessee,13929,13929,238,238
2020-05-07,USA,Tennessee,14091,14091,237,237
2020-05-08,USA,Tennessee,14436,14436,241,241
2020-05-09,USA,Tennessee,14763,14763,242,242
